Actor Names,Country,Actor Details,Likes
Lee Jong Suk,South Korean,"Lee Jong Suk is a South Korean actor and model. He majored in Professional Motion Pictures and Art at Konkuk University and completed his military service in January of 2021. In 2005, Jong Suk debuted with the short film ""Sympathy."" A former SM Entertainment trainee, he trained for three months as a…","22,486"
Ji Chang Wook,South Korean,"Ji Chang Wook is a South Korean actor and singer. He studied performing arts at Dankook University and enlisted in the military on August 14, 2017, before being discharged on April 27, 2019. Chang Wook began his career in musical theater and made his onscreen debut in the 2006 film ""Days..."" In 2011,…","19,205"
Kim Soo Hyun,South Korean,"Kim Soo Hyun is a South Korean actor managed by GoldMedalist. He debuted in the drama ""Kimchi Cheese Smile"" (김치 치즈 스마일) in 2007. His paternal half-sister is singer Kim Ju Na. He has won numerous prestigious awards throughout his career, including four Baeksang Arts Awards, two Grand Bell…","16,566"
Park Seo Joon,South Korean,"Park Seo Joon is a South Korean actor managed by Awesome Entertainment. He completed his military service in 2010 before making his debut in 2011 in Bang Yong Guk's music video ""I Remember."" Apart from acting, Seo Joon has performed OST tracks of dramas he's starred in since 2012. (Source: MyDramaList)","16,309"
Song Joong Ki,South Korean,"Song Joong Ki is a South Korean actor under HighZium studio. Prior to debuting, he competed in short-track speed skating and represented his home city of Daejeon at the national level. He skated for 12 years. An injury forced him to give up the sport during his first year of high school. He excelled…","15,895"
Lee Min Ho,South Korean,"Lee Min Ho is a South Korean actor, singer, and model represented by MYM Entertainment. He started to act in his second year of high school and joined Starhaus Entertainment in his senior year. He completed his mandatory military service in April of 2019. Early on in his career, Min Ho used the stage…","15,001"
Lee Dong Wook,South Korean,"Lee Dong Wook is a South Korean actor and model under King Kong by Starship Entertainment. In 2005 he enrolled in Joongbu University, majoring in media and broadcasting arts. He was awarded ""Best Supporting Actor"" at both the 5th Annual DramaFever Awards & the 13th Annual Soompi Awards playing a grim…","14,481"
IU,South Korean,"Lee Ji Eun, better known by her stage name IU, is a South Korean singer-songwriter and actor under EDAM Entertainment. Her stage name is derived from the phrase ""I and You,"" symbolizing that people can become one through music. She debuted on ""Mnet M! Countdown"" on September 18, 2008, with her debut…","14,254"
Nam Joo Hyuk,South Korean,"Nam Joo Hyuk is a South Korean model and actor under the agency Management SOOP. He was born in Busan, South Korea. During his studies at Gyeongnam Middle School, Nam dreamed of becoming a professional basketball player, playing on the basketball team for three years before sustaining an injury that…","14,169"
Lee Joon Gi,South Korean,"Lee Joon Gi is a South Korean actor, model, and singer under the agency Namoo Actors. He completed his mandatory military service in February 2012. Joon Gi first became interested in performing arts after watching a performance of Hamlet in high school. Forgoing university studies, he moved to Seoul…","13,863"
