Most Popular Drama,Drama Rank,Drama Name,Original Language - Year of Release,Overview,Episodes,MDL Rating
1,#151,Goblin,Korean Drama - 2016,"Kim Shin was once an unbeatable general in Goryeo's military who died a tragic death. He now possesses immortality but is tired of living while everyone else around him dies. For 900 years, Kim Shin has searched for…",16 episodes,8.8
2,#265,Strong Woman Do Bong Soon,Korean Drama - 2017,"Do Bong Soon is a petite, unemployed woman who is honest and kind. She appears little and sweet on the outside, but she is in fact very, very strong. For generations in her family, the women have been gifted Herculean…",16 episodes,8.7
3,#182,Weightlifting Fairy Kim Bok Joo,Korean Drama - 2016,"Bok Joo is a weightlifter who is pursuing her dream of winning the gold medal but she then finds romance for the first time in her life. While she is a woman who trains with heavy steel weights, she is also very feminine…",16 episodes,8.8
4,#339,Descendants of the Sun,Korean Drama - 2016,A love story that develops between a surgeon and a special forces officer. Kang Mo Yeon is a pretty and assertive woman who works as a cardiothoracic surgeon at Haesung Hospital. She isn't afraid to admit her mistakes…,16 episodes,8.6
5,#84,It's Okay to Not Be Okay,Korean Drama - 2020,"Moon Gang Tae is a community health worker at a psychiatric ward who was blessed with everything including a great body, smarts, ability to sympathize with others, patience, ability to react quickly, stamina, and more.…",16 episodes,8.9
6,#521,What's Wrong with Secretary Kim,Korean Drama - 2018,"The series revolves around the narcissistic Lee Young Joon, the vice president of a company run by his family. He is very self-absorbed and thinks highly of himself, so much that he barely acknowledges the people around…",16 episodes,8.5
7,#62,Crash Landing on You,Korean Drama - 2019,"After getting into a paragliding accident, South Korean heiress Yoon Se Ri crash lands in North Korea. There, she meets North Korean army officer Ri Jung Hyuk, who agrees to help her return to South Korea. Despite the…",16 episodes,9.0
8,#544,W,Korean Drama - 2016,"Oh Sung Moo, the father of cardiothoracic surgeon Oh Yeon Joo, mysteriously goes missing while writing the last chapter of his webtoon ""W"". Yeon Joo goes to his office looking, but a hand from his monitor suddenly pulls…",16 episodes,8.5
9,#356,Hotel del Luna,Korean Drama - 2019,"Nestled deep in the heart of Seoul’s thriving downtown sits a curious hotel, the like of which no one has ever seen before. Old beyond measure, the building has stood for millennia, an ever-present testament to the…",16 episodes,8.6
10,#263,While You Were Sleeping,Korean Drama - 2017,"Nam Hong Ju, endowed with the ability to foresee events, resides with her widowed mother who runs a small restaurant. Despite her gift, she often finds herself powerless to change the outcomes. On the other side of the…",32 episodes,8.7
11,#5590,Boys over Flowers,Korean Drama - 2009,"Geum Jan Di comes from a poor family who owns a dry-cleaning shop. One day, she visits Shinhwa High School, a prestigious school for the wealthy, and saves a student trying to commit suicide because of bullying. For…",25 episodes,7.5
12,#5195,The Heirs,Korean Drama - 2013,"Kim Tan is the heir to Empire Group who has been sent to study abroad in the U.S. In reality it's a form of exile, as his elder half-brother back home schemes to take over the family business. While in the States, Kim…",20 episodes,7.6
13,#280,Business Proposal,Korean Drama - 2022,"Shin Ha Ri is a single woman who works for a company. She has a male friend, who she has had a crush on for a long time, but she learns he has a girlfriend. Shin Ha Ri feels sad and decides to meet her friend Jin Young…",12 episodes,8.7
14,#98,Vincenzo,Korean Drama - 2021,"At the age of eight, Park Joo Hyeong left for Italy after being adopted. Now an adult, he is known as Vincenzo Cassano and employed by a Mafia family as a consigliere. Due to warring Mafia factions, he flies to South…",20 episodes,8.9
