Movie Name,Original Language - Year of Release,Overview,MDL Rating
"Shinpei,",Japanese Movie - 2024,,
Gatao: Like Father Like Son,Taiwanese Movie - 2024,,
The Dream of the Red Chamber,Chinese Movie - 2024,"~~ Adapted from the novel ""Dream of the Red Chamber"" (红楼梦) by Cao Xue Qin (曹雪芹).",
Victory,Korean Movie - 2024,"In 1999, at a small village in Geoje, high school student Pil Sun has a passion for dancing. She is best friends with Mi Na. The two girls decide to join their school's cheerleading club Millennium Girls, which has members…",
Un/Happy for You,Filipino Movie - 2024,"Two years after their breakup, a Bicolano chef on the rise, reunites with his ex-girlfriend who is back in the province for a brief work visit. Still feeling bitter about their breakup, he tries to seduce her to ruin…",
Ang Kapitbahay,Filipino Movie - 2024,"The story of an innocent college boy and the woman who would introduce him to manhood. Alex meets his new sultry neighbor, Rose, who awakens his sexual desire and gives him his first sexual experience only to learn a…",
Stray Dogz X,Japanese Movie - 2024,,
Land of Broken Hearts,Chinese Movie - 2024,"Huang Zhen Kai suspects that he is living in a movie. He can't change anything and can only follow the script day after day, becoming a prisoner of life. After moving into his new residence, he met his mysterious roommate…",
Overtime Scare,Chinese Movie - 2024,"It tells the story of a working girl who was deeply troubled by overtime work, which triggered depression and led her to commit suicide by jumping off a building. After the suicide, the building seemed to be cursed,…",
Mission Cross,Korean Movie - 2024,"A man leaving his past behind and living as a househusband is chased by his wife for his secret life! A hardworking househusband and a former special forces officer, Kang Moo, is hiding his past from his wife, Mi Sun,…",7.6
Blue Period,Japanese Movie - 2024,Second-year high school student Yaguchi Yatora is a delinquent with excellent grades but is unmotivated to find his true calling in life. He spends his days working hard to maintain his academic standing while hanging…,
Shinmai Kisha Torokko: Watashi ga Yaraneba Dare ga Yaru!,Japanese Movie - 2024,"Tokoro Yui is a literature enthusiast who enrolls in the elite Sakuraba Academy, where her favorite author, Midorimachi Konoha, is a student, and takes the literature club test. However, while taking the test, a reconnaissance…",
Upstream,Chinese Movie - 2024,A rash decision resulted in Gao Zhi Lei being a “shut-in”. He didn’t anticipate how his story would go in a completely different direction in the near future. A sequence of unfortunate events led Gao Zhi Lei to…,
Mana Man,Thai Movie - 2024,"A story of resilience, betrayal, and the pursuit of redemption. 

(Source: thai.film)",
Lolo and the Kid,Filipino Movie - 2024,"A hustler and the child he took in routinely con the wealthy — but a life-changing opportunity could end their inseparable bond.

(Source: Netflix)",8.2
Pintor at Paraluman,Filipino Movie - 2024,"An artist meets a mysterious woman who becomes his model for his nude artwork. He then fantasizes making love with her; however, he always remembers her number one rule - she can't be touched.

(Source: vivamax.net)",7.5
When the World Met Miss Probinsyana,Filipino Movie - 2024,"Marge is a determined young woman from the province who breaks into the male-dominated BPO industry. As a symbol of innovation and empowerment, she returns to her roots to uplift her community by establishing her own…",
Backrider,Filipino Movie - 2024,"Faith is a private massage therapist. After a nasty break up with her gaming and crypto addicted boyfriend, she finds comfort in her rich, and seemingly kind client, but finds herself in a passionate and perilous situation.…",
Unang Tikim,Filipino Movie - 2024,"They say that first love never dies, but is it worth all the risk? Yuna and Becca are madly in love with each other. They are each other’s first – first touch, first kiss, first sexual experience. It seems like nothing…",
The Wedding Dance,Filipino Movie - 2024,"In 1942, a Kalinga woman is personally invited by her husband, a warrior of their tribe, to his new wedding dance.

(Source: cinemalaya.org) 

~~ Adapted from the short story ""The Wedding Dance"" by Amador T. Daguio.",
Kono Doga wa Saisei Dekimasen the Movie,Japanese Movie - 2024,"~~ Adapted from the horror mystery program ""Kono Doga wa Saisei Dekimasen"" (この動画は再生できません).
~~ Release dates: Aug 3, 2024 (Preview screening) || Sept 13, 2024 (Cinema)",
Ayume,Japanese Movie - 2024,,
Kono Basho,Filipino Movie - 2024,"Two estranged half sisters, Ella and Reina, reunite at their father’s funeral in Rikuzentakata where they end up forging a bond to heal their personal wounds. In the process, Ella, a 28-year-old Filipina anthropologist,…",
Flying Embers and a Fortress,Filipino Movie - 2024,"The brother of missing activist Jonas Burgos bares in this documentary the untold stories behind the confidential leads, damning evidence, and why the disappearance of his brother remains a relevant case today. (Source:…",
An Errand,Filipino Movie - 2024,"A driver is sent on a simple errand: to pick up a designer t-shirt and a tin of viagra for his boss, who is shacked up in a hotel with his lover. Simple as it sounds, the road trip crisscrosses the chasms of time, class,…",
Trench,Filipino Movie - 2024,"While facing threats of demolition, a coastal community of informal settlers discovers an unearthly shell by the sea. This makes them vulnerable to menacing powers set out to destroy their homes and their humanity. (Source:…",
