Web Series Rank,Web Series Name,Original Language - Year of Release,Episodes,Overview,MDL Rating
#1,Twinkling Watermelon,Korean Drama - 2023,16 episodes,"In 2023, Eun Gyeol is a CODA (Child of Deaf Adults) high-school student, but he has a passion for music. During the day, he is a studious model pupil, but at night, he rocks out as a guitarist in a band. But when he…",9.2
#2,Move to Heaven,Korean Drama - 2021,10 episodes,"Han Geu Roo is an autistic 20-year-old. He works for his father’s business “Move To Heaven,” a company that specializes in crime scene cleanup, where they also collect and arrange items left by deceased people,…",9.1
#3,Weak Hero Class 1,Korean Drama - 2022,8 episodes,"Yeon Shi Eun is a model student who ranks at the top of his high school. Physically, Yeon Shi Eun appears weak, but by using his wits and psychology, he fights against the violence that takes place inside and outside…",9.1
#4,Hospital Playlist Season 2,Korean Drama - 2021,12 episodes,"Everyday is extraordinary for five doctors and their patients inside a hospital, where birth, death and everything in between coexist.

(Source: Netflix)",9.1
#5,Lovely Runner,Korean Drama - 2024,16 episodes,"In the glitzy realm of stardom, Ryu Seon Jae shines as a top-tier celebrity, captivating the spotlight since his debut. Despite the facade of a perfect life, the demanding nature of the entertainment industry has left…",9.1
#6,Nirvana in Fire,Chinese Drama - 2015,54 episodes,"In sixth-century China, the Emperor of Great Liang orders the unjust execution of his brother-in-law Marshal Lin Xie alongside the Lin family, his 70,000 army soldiers, and Crown Prince Qi. Secretly surviving the massacre…",9.1
#7,Flower of Evil,Korean Drama - 2020,16 episodes,"Although Baek Hee Sung is hiding a dark secret surrounding his true identity, he has established a happy family life and a successful career. He is a loving husband and doting father to his young daughter. But his perfect…",9.1
#8,Alchemy of Souls,Korean Drama - 2022,20 episodes,"Set in a fictional country called Daeho that does not exist in history or on maps, it is about the love and growth of young mages as they overcome their twisted fates due to a forbidden magic spell known as the ""alchemy…",9.1
#9,Moving,Korean Drama - 2023,20 episodes,"Kim Bong Seok, Jang Hee Soo, and Lee Gang Hoon, seemingly typical high school students, bear extraordinary inherited powers. Bong Seok can fly, Hee Soo possesses exceptional athleticism and rapid injury recovery, and…",9.1
#10,Hospital Playlist,Korean Drama - 2020,12 episodes,"The stories of people going through their days are seemingly ordinary but actually special at the hospital, a place known as the microcosm of life, where someone is being born and someone's life meets its ending. The…",9.1
#11,Reply 1988,Korean Drama - 2015,20 episodes,"Five childhood friends, who all live in the same Ssangmundong neighborhood of Seoul, lean on each other to survive their challenging teen years and set a path for their futures. Sung Deok Sun struggles for attention…",9.1
#12,Joy of Life,Chinese Drama - 2019,46 episodes,"Fan Xian is born in the ancient empire of Southern Qing with memories of the 21st century. He lives in a rural town as the illegitimate son of the Minister of Finance, raised by his grandmother. His mother, Ye Qing Mei,…",9.0
#13,Reset,Chinese Drama - 2022,15 episodes,"An unexplainable phenomena finds college-going student, Li Shi Qing, trapped in a never-ending time loop where she is always stuck on a public service bus which is due to explode, bringing death & destruction to not…",9.0
#14,1 Litre no Namida,Japanese Drama - 2005,11 episodes,"15-year-old Ikeuchi Aya is an ordinary girl, the daughter of a family who works at a tofu shop, and a soon-to-be high schooler. However, odd things have been happening to Aya lately. She has been falling down often and…",9.0
#15,My Mister,Korean Drama - 2018,16 episodes,"Park Dong Hoon is a middle-aged engineer who is married to attorney Kang Yoon Hee. However, his life is not that happy as he has two unemployed brothers, Sang Hoon and Gi Hoon, who rely on him. Moreover, his wife is…",9.0
#16,Hidden Love,Chinese Drama - 2023,25 episodes,"Sang Zhi falls in love with Duan Jia Xu, the boy who often comes to her house to play games in her older brother's room. He is five years older than her. Sang Zhi had a crush on Duan Jia Xu when she was young, but they…",9.0
#17,Joy of Life Season 2,Chinese Drama - 2024,36 episodes,"Fan Xian, the illegitimate son of the finance minister found love with Lin Wan Er, the daughter of the Princess Royal. They wanted to live peaceful lives, but a scheming prince plotted his demise. Fan Xian was forced…",9.0
#18,Mysterious Lotus Casebook,Chinese Drama - 2023,40 episodes,"Ten years ago, Li Xiang Yi, the master of the Sigu Sect, dominated with his superior swordsmanship and was a symbol of light in the martial arts world. However, he suddenly disappeared along with Di Fei Sheng, the leader…",9.0
#19,The Untamed,Chinese Drama - 2019,50 episodes,"Wei Wu Xian and Lan Wang Ji, two talented disciples of respected clans, meet during cultivation training and accidentally discover a secret carefully hidden for many years. Taking on the legacy of their ancestors, they…",9.0
#20,Under the Queen's Umbrella,Korean Drama - 2022,16 episodes,"Within the palace exist troublemaking princes who cause nothing but headaches for the royal family and are about to be turned into proper crown princes. Their mother, Im Hwa Ryeong, is the wife of a great king. But…",9.0
#21,When I Fly Towards You,Chinese Drama - 2023,24 episodes,"In the early autumn of 2012, Yucai High School welcomes a cheerful transfer student named Su Zai Zai. On the first day of school, Su Zai Zai encounters the aloof and cool Zhang Lu Rang and falls in love with him at first…",9.0
#22,Love Like the Galaxy: Part 2,Chinese Drama - 2022,29 episodes,"After a series of twists and turns, Cheng Shao Shang and Ling Bu Yi are engaged to be married by Imperial consent and decree. However, they still have many hurdles to overcome. Cheng Shao Shang, having been neglected…",9.0
#23,Crash Landing on You,Korean Drama - 2019,16 episodes,"After getting into a paragliding accident, South Korean heiress Yoon Se Ri crash lands in North Korea. There, she meets North Korean army officer Ri Jung Hyuk, who agrees to help her return to South Korea. Despite the…",9.0
#24,The Glory Part 2,Korean Drama - 2023,8 episodes,Moon Dong Eun's silent fury against those students that horrifically abused her during her high school years continues to burn inside of her. She meticulously executes her plan to inflict ultimate pain on her tormentors.…,9.0
#25,Love Like the Galaxy: Part 1,Chinese Drama - 2022,27 episodes,"Ling Bu Yi, the foster son of Emperor Wen and a talented & ruthless general of the Black Armour Army, was on a personal mission to uncover hidden truths about the past, which had led to the massacre of an entire city…",9.0
#26,Prison Playbook,Korean Drama - 2017,16 episodes,"Kim Je Hyuk, a famous baseball player, is arrested after using excessive force while chasing a man trying to sexually assault his sister. Shockingly to him and the rest of the nation, he is sentenced to a year in prison.…",9.0
#27,Someday or One Day,Taiwanese Drama - 2019,13 episodes,"In 2019, 27-year-old Huang Yu Xuan yearns for her missing boyfriend Wang Quan Sheng, presumed dead for two years. On her birthday, she wishes to ""see him."" Meanwhile, in 1998, 17-year-old Chen Yun Ru pines for a boy…",8.9
#28,Mother,Korean Drama - 2018,16 episodes,"Realizing one of her students is being abused, school teacher and bird researcher Soo Jin impulsively kidnaps the girl and acts as a substitute mother in an attempt to take care of her.

(Source: MyDramaList)",8.9
#29,Oh No! Here Comes Trouble,Taiwanese Drama - 2023,12 episodes,"Pu Yi Yong is a typical high school student. When he unexpectedly gains superpowers after waking up from a bus accident, his previously uneventful life is suddenly not so ordinary anymore. (Source: Chinese = tw.dorama.info…",8.9
#30,Dr. Romantic Season 3,Korean Drama - 2023,16 episodes,"At Doldam Hospital, Dr. Kim Sa Bu and his team are committed to saving lives. After three years, a state-of-the-art trauma centre is set to open, equipped with the latest in medical technology. Prior to the centre's…",8.9
#31,Mr. Queen,Korean Drama - 2020,20 episodes,"Jang Bong Hwan is a South Korean chef who has risen up the ranks to cook for the country’s top politicians in the Blue House’s presidential residences. After a serious accident, he finds himself in the body of the…",9.0
#32,It's Okay to Not Be Okay,Korean Drama - 2020,16 episodes,"Moon Gang Tae is a community health worker at a psychiatric ward who was blessed with everything including a great body, smarts, ability to sympathize with others, patience, ability to react quickly, stamina, and more.…",8.9
#33,My Dearest,Korean Drama - 2023,10 episodes,"A love-story between a noblewoman and a mysterious man who shows up in her hometown set in the 1600s during the Qing invasion. Yu Gil Chae is a pretty, bubbly, and a bit spoiled young lady who's called the 99 tailed…",8.9
#34,The Double,Chinese Drama - 2024,40 episodes,"It tells the story of Xue Fang Fei, the daughter of a well-off county magistrate who lost everything after a major upheaval. Saved by Jiang Li, the daughter of the Secretariat Director, she took on the identity of Jiang…",8.9
#35,Alchemy of Souls Season 2: Light and Shadow,Korean Drama - 2022,10 episodes,"Jang Uk returns from death, and three years later, the story of the mages unfolds anew. Jang Uk becomes a hunter of the soul-shifters when a young woman, a prisoner in her own home, seeks his help to reclaim her freedom.…",8.9
#36,Extraordinary Attorney Woo,Korean Drama - 2022,16 episodes,"Diagnosed with autism spectrum disorder, 27-year-old Woo Young Woo graduated at the top of her class from the prestigious Seoul National University for both college and law school due to her high IQ of 164, impressive…",8.9
#37,Go Ahead,Chinese Drama - 2020,46 episodes,"The story revolves around three troubled youths who find solace in their common experiences to become the best family that they can be for each other. Growing up in dysfunctional households, three individuals who are…",8.9
#38,Navillera,Korean Drama - 2021,12 episodes,A 70-year-old with a dream and a 23-year-old with a gift lift each other out of harsh realities and rise to the challenge of becoming ballerinos. Shim Deok Chul has had a life long dreaming of performing ballet. He is…,8.9
#39,The Glory,Korean Drama - 2022,8 episodes,"A high school student dreams of becoming an architect. However, she had to drop out of school after suffering from brutal school violence. Years later, the perpetrator gets married and has a kid. Once the kid is in elementary…",8.9
#40,Vincenzo,Korean Drama - 2021,20 episodes,"At the age of eight, Park Joo Hyeong left for Italy after being adopted. Now an adult, he is known as Vincenzo Cassano and employed by a Mafia family as a consigliere. Due to warring Mafia factions, he flies to South…",8.9
#41,Signal,Korean Drama - 2016,16 episodes,"Fifteen years ago, a young girl was kidnapped on the way from school, and Park Hae Yeong, who was an elementary school student at that time, witnessed the crime. A few days later, the girl was found dead, and the police…",8.9
#42,My Dearest Part 2,Korean Drama - 2023,11 episodes,"Jang Hyun is living without purpose or desire. He's a cold-hearted man who loves no one until he gets introduced to love after meeting Gil Chae. She is charming and admired by all, but her first love, Yeon Jun, is already…",8.9
#43,The Good Bad Mother,Korean Drama - 2023,14 episodes,"Young Soon is a single mother and pig farmer who raised her son Kang Ho alone. Despite her love for him, her strict parenting caused Kang Ho to view her as a bad mother. As an adult, Kang Ho became a cold-hearted prosecutor…",8.9
#44,I Feel You Linger in the Air: Uncut Version,Thai Drama - 2023,12 episodes,"Jom is a young architect overseeing the renovation of an old house in Chiang Mai. However, during this project, Jom starts to have strange and frequent dreams about himself and a mysterious man from the past. Soon, Jom…",8.9
