Web Series Name,Original Language - Year of Release,Episodes,Overview
The On1y One,Taiwanese Drama - 2024,12 episodes,"Life is hard enough for Sheng Wang when he transfers into a new high school and clashes immediately with classmate Jiang Tian. But when Sheng Wang's father and Jiang Tian's mother decide to get married, the two boys'…"
GG Precinct,Taiwanese Drama - 2024,6 episodes,"In the spin-off series of the film ""Marry My Dead Body"", rookie police captain Lin Zi Ching and goofy detective Wu Ming Han face a trail of murders staged as chilling Chinese idioms word games and race to solve the serial…"
Pachinko Season 2,Korean Drama - 2024,8 episodes,"Begins in Osaka in 1945 when World War II broke out, and tells the story of Sun Ja's struggles to protect her family, even making dangerous choices. The stories of Solomon, who must start anew with nothing in 1989 Tokyo,…"
The Frog,Korean Drama - 2024,8 episodes,"During the summer in the present day, Jeon Youn Ha runs a vacation cottage located deep in the woods. His peaceful life is shaken by the sudden appearance of a mysterious woman named Yoo Sung A. In the early 2000's,…"
Cinderella at 2 AM,Korean Drama - 2024,10 episodes,"Ha Yun Seo is single and works as a team leader at a large company. She is attractive, has a nice personality, and is respected at her company. When she was younger, she took her younger brother and left her family because…"
"No Gain, No Love",Korean Drama - 2024,12 episodes,"Son Hae Yeong is the type of person who doesn't want to lose money under any circumstance. While growing up, she had to share her mother's love with others. She often found her partners in relationships below her break-even…"
Peaceful Property,Thai Drama - 2024,10 episodes,"Home, the heir of a wealthy and famous Thai family, lives a carefree life until his grandfather passes away and he has to return to Thailand to receive his inheritance. The inheritance he was left is no ordinary property,…"
Queen Woo,Korean Drama - 2024,8 episodes,"Woo Hui is the queen of Goguryeo. A crisis ensues when her husband, the king of Goguryeo, dies suddenly. Woo Hui becomes the target of princes and the 5 tribes who all want to gain more power. To protect her family and…"
Renai Battle Royale,Japanese Drama - 2024,N/A,"Arisawa Ichika enrolls in an elite girls' high school attended by the children of wealthy families. Thinking of her daughter's future, her mother Chihiro tries her best to scrape together the school fees, but life for…"
Affair,Thai Drama - 2024,8 episodes,"Siangphleng and Wan Wanwiwa have grown up in the same household but with different statuses. Phleng's the child of the homeowner while Wan works in the house. Although they never want to be separated, one day, Wan tells…"
Live in Love,Thai Drama - 2024,5 episodes,"The drama depicts a pure and feel-good love story between Kla and Cake, where their story begins through live streaming and gradually develops into love. (Source: Thai = Studio on Fire Facebook || Translation = MyDramaList)…"
Reverse 4 You,Thai Drama - 2024,8 episodes,"Jattawa seems like an ordinary law student, but she has the ability to control time. Her younger sister Vivi has the ability to see the future. Lately, though, Vivi's visions seem to be wrong. Therefore, she finds it…"
The Hidden Moon,Thai Drama - 2024,10 episodes,"It is set around a creepy old house in the middle of the forest. As fate leads Khen to the mysterious place, he comes across the house’s owner’s son, Mas. Soon, the two develop a deep relationship. However, it will…"
