Web Series Name,Original Language - Year of Release,Episodes,Overview,MDL Rating
Single’s Inferno Season 1,Korean TV Show - 2021,8 episodes,"Stranded and ready to mingle, flirty singles search for love on a deserted island, they can only escape as couples for romantic date nights in paradise. 

(Source: Netflix)",7.9
Running Man,Korean TV Show - 2010,740 episodes,"In each episode, the members must compete in a series of games and missions to win the race. As they fight to win prizes and avoid penalties, the members show their chemistry with each other and the celebrity guests…",9.2
Busted Season 1,Korean TV Show - 2018,10 episodes,"Tackling different mysteries in each episode of this game show, seven sleuths get closer to solving the biggest one of all: What happened to Project D? Seven celebrity sleuths discover that they are a part of an operation…",8.6
Single’s Inferno Season 2,Korean TV Show - 2022,10 episodes,"A new cast of singles comes together on a remote island seeking love. Who will find that special someone and make their escape to a luxurious getaway?

(Source: Netflix)",8.1
Young Actors' Retreat,Korean TV Show - 2022,8 episodes,"“Youth MT” is a new TVING variety show featuring the reunion of actors from “Love in the Moonlight,” “Itaewon Class,” and “The Sound of Magic.” The casts of producing director (PD) Kim Sung Yoon’s three…",9.0
I-LAND,Korean TV Show - 2020,12 episodes,"23 young male K-pop trainees, born between 1997 and 2006, attempt to become the hottest new thing in global pop music. The trainee group has been working toward its big moment for some 12 months, with contestants selected…",8.5
Busted Season 2,Korean TV Show - 2019,10 episodes,"Amateur detectives attempt to untangle a string of mystifying cases, which may be connected to an enigmatic figure known as the Flower Killer. 

(Source: Netflix)",8.8
Physical: 100,Korean TV Show - 2023,9 episodes,"In this fierce fitness competition, one hundred contestants in top physical shape compete to claim the honor of best body.

(Source: Netflix)",8.3
Kingdom: Legendary War,Korean TV Show - 2021,10 episodes,"The sequel to Mnet's ""Road to Kingdom"". A survival competition show featuring K-pop boy groups and their performing potential. Final line up for Kingdom: The Boyz, Stray Kids, Ateez, BTOB, iKON & SF9. (Source: OneTouchTV.me)",8.4
Run BTS! Season 1,Korean TV Show - 2015,10 episodes,"A variety show by the South Korean boy band BTS. In each episode, all 7 members play games and/or participate in various activities set up by their staff in order to complete challenges and even carry out secret missions,…",8.6
Run BTS! Season 2,Korean TV Show - 2017,46 episodes,"Run BTS! is a reality show starring BTS, where they play various games and compete in various competitions individually or in groups. Season 2 ran from episodes 11-56.",8.7
Boys Planet,Korean TV Show - 2023,12 episodes,A group of male K-pop wannabes – including a few established stars – vie for the right to join a brand-new group and compete for chart glory. Trainees are divided into two groups. There will be a K-group for South…,8.2
BTS in the Soop Season 1,Korean TV Show - 2020,8 episodes,"“In the SOOP BTS Ver.” (“soop” means “forest” in Korean) So the show takes place in the forest. The concept is to spend time doing activities that are ""somewhere between everyday life and relaxation."" Participants…",8.8
Busted Season 3,Korean TV Show - 2021,8 episodes,"With old faces back on the team, the detectives investigate a series of bewildering cases that seem to be linked to a shady organization.

(Source: Netflix)",8.7
Knowing Bros,Korean TV Show - 2015,460 episodes,"It is a sitcom talk show program set in a school. In each episode, new celebrity guests appear as transfer students at the 'Brother School' where seven mischievous brother students wait for them. The show consists of…",8.7
His Man Season 1,Korean TV Show - 2022,11 episodes,"As South Korea's very first gay dating reality series, ""His Man"" brings together a group of eight hot, sexy, free and single gay men to a shared house where they are to live, interact and open up to each other in their…",8.3
Run BTS! Season 3,Korean TV Show - 2019,99 episodes,"Run BTS! is a reality show starring BTS, where they play various and often unique games, competing individually or in groups. Season 3 starts from episode 57.

(Source: MyDramaList)",8.8
Single’s Inferno Season 3,Korean TV Show - 2023,11 episodes,"Stranded and ready to mingle, flirty singles search for love on a deserted island they can only escape as couples for romantic date nights in paradise.

(Source: Netflix)",7.9
BTS in the Soop Season 2,Korean TV Show - 2021,5 episodes,"""BTS in the Soop Season 2"" is HYBE's entertainment reality program, which contains a healing story in the forest, this time in Pyeongchang-gun, Gangwon-do, South Korea. Here all seven BTS members enjoy their time separately…",9.3
In The Soop: Friendcation,Korean TV Show - 2022,4 episodes,"'In the Soop: Friendcation', which will be aired in July, is a spin-off of 'In the Soop' and depicts a travel story of Park Seo-joon, Peakboy, Choi Woo-shik, Park Hyung-sik, and BTS V, best friends of the entertainment…",8.8
Twogether,Korean TV Show - 2020,8 episodes,"Paired together for an unforgettable trip across Asia, stars Lee Seung Gi and Jasper Liu become buddies as they connect with fans and local cultures.

(Source: Netflix)",8.8
Produce 101 Season 2,Korean TV Show - 2017,11 episodes,"Produce 101 Season 2 brings together 101 trainees from different entertainment companies in South Korea, and 11 trainees are selected through audience voting to form a boy band. The group will perform for 2 years together…",8.3
BTS: Bon Voyage,Korean TV Show - 2016,8 episodes,"In season one, let's see stories of BTS travelling around North Europe during 10 days, celebrating their 3rd year!",8.6
Nineteen to Twenty,Korean TV Show - 2023,13 episodes,“19/20” captures the growth and freedom of young 19-year-olds as they turn 20. The show will follow various Gen Z’s as they enjoy their final week being 19 and their first week being 20 after ringing in 2023. The…,8.7
His Man Season 2,Korean TV Show - 2023,14 episodes,"Eight attractive guys cohabitate for eight days, leading to exciting chemistry and unexpected connections. 

(Source: Gagaoolala)",8.5
BTS: Bon Voyage 2,Korean TV Show - 2017,8 episodes,"Season two, we follow BTS as they have a memorable 9 day travel in Hawaii!",8.6
The Devil's Plan,Korean TV Show - 2023,12 episodes,A mind game survival entertainment show that awards up to 500 million Korean won to the winner. Participants including celebrities and influencers and recruits of this game begin with the devil’s suggestion to take…,8.6
Jinny's Kitchen,Korean TV Show - 2023,11 episodes,"In a small beautiful town in Mexico, Bacalar, Jinny’s Kitchen opens, introducing Korean street food to their passionate customers! Meet Seo Jin, the boss who is serious about the business, Yu Mi, the new executive,…",8.9
Produce 101,Korean TV Show - 2016,11 episodes,"Produce 101 is the nation's first agency-collaboration unit girl group project, which brings together 101 trainees from different entertainment companies both inside and outside of South Korea. From the 101 trainees,…",8.1
Produce X 101,Korean TV Show - 2019,12 episodes,"Produce X 101 was the fourth season of Mnet’s reality television talent competition franchise Produce 101. The public (called 'national producers') ""produces"" a boy band by choosing 11 members among the 101 trainees…",8.2
EXO's Showtime,Korean TV Show - 2013,12 episodes,"EXO's Showtime is a South Korean documentary starring the boy group EXO. It is the first season of the South Korean reality show series, Showtime.",8.9
BTS: Burn The Stage,Korean TV Show - 2018,8 episodes,"Burn the Stage follows the 300-day journey of the K-Pop group, BTS' world tour, 2017 BTS LIVE TRILOGY EPISODE : THE WINGS TOUR. This show is an intimate, personal portrayal dedicated to each other and to their fans across…",8.7
Stray Kids,Korean TV Show - 2017,10 episodes,"JYP Entertainment and Mnet’s new boy group survival program is titled “Stray Kids,” which refers to idols who have left home and also captures the mindset of being free from standardization and stereotypes. Rather…",8.6
BTS: Bon Voyage 3,Korean TV Show - 2018,8 episodes,"BTS Bon Voyage is back as usual with it's third story. The seven members are making happy memories in Malta! This year, it is spectacular beyond your expectation as always! Are you ready to fly away with BTS to a beautiful…",8.7
