Most Popular,Movie Rank,Movie Name,Original Language - Year of Release,MDL Rating
1,#78,Train to Busan,Korean Movie - 2016,8.9
2,#83,Parasite,Korean Movie - 2019,8.9
3,#411,A Werewolf Boy,Korean Movie - 2012,8.6
4,#24,Miracle in Cell No. 7,Korean Movie - 2013,9.1
5,#263,Midnight Runners,Korean Movie - 2017,8.7
6,#364,20th Century Girl,Korean Movie - 2022,8.6
7,#1037,The Beauty Inside,Korean Movie - 2015,8.3
8,#2966,#Alive,Korean Movie - 2020,7.9
9,#329,The Witch: Part 1. The Subversion,Korean Movie - 2018,8.6
10,#2734,Love and Leashes,Korean Movie - 2022,7.9
11,#5829,200 Pounds Beauty,Korean Movie - 2006,7.5
12,#1215,The Handmaiden,Korean Movie - 2016,8.2
13,#1607,Tune in for Love,Korean Movie - 2019,8.1
14,#465,Forgotten,Korean Movie - 2017,8.5
15,#142,Silenced,Korean Movie - 2011,8.8
16,#11,Better Days,Chinese Movie - 2019,9.2
17,#2859,From Me to You,Japanese Movie - 2010,7.9
18,#281,My Annoying Brother,Korean Movie - 2016,8.7
19,#404,Always,Korean Movie - 2011,8.6
20,#1007,Secretly Greatly,Korean Movie - 2013,8.3
21,#832,Space Sweepers,Korean Movie - 2021,8.4
22,#189,The Man from Nowhere,Korean Movie - 2010,8.8
23,#346,Along With the Gods: The Two Worlds,Korean Movie - 2017,8.6
24,#1093,The Call,Korean Movie - 2020,8.3
25,#8921,100 Days with Mr. Arrogant,Korean Movie - 2004,7.1
26,#1270,Your Name Engraved Herein,Taiwanese Movie - 2020,8.2
27,#2332,Twenty,Korean Movie - 2015,8.0
28,#1923,On Your Wedding Day,Korean Movie - 2018,8.1
29,#6094,L♥DK,Japanese Movie - 2014,7.5
30,#2094,Spellbound,Korean Movie - 2011,8.0
31,#267,Be With You,Korean Movie - 2018,8.7
32,#1872,Sky of Love,Japanese Movie - 2007,8.1
33,#3022,My Sassy Girl,Korean Movie - 2001,7.9
34,#928,The Dude in Me,Korean Movie - 2019,8.3
35,#39,Hope,Korean Movie - 2013,9.1
36,#831,Midnight,Korean Movie - 2021,8.4
37,#1493,My P.S. Partner,Korean Movie - 2012,8.2
38,#1071,Orange,Japanese Movie - 2015,8.3
39,#4409,Baby & I,Korean Movie - 2008,7.7
40,#311,Rurouni Kenshin,Japanese Movie - 2012,8.6
41,#2793,Unlocked,Korean Movie - 2023,7.9
42,#5523,Method,Korean Movie - 2017,7.5
43,#2884,One Smile Is Very Alluring,Chinese Movie - 2016,7.9
44,#7024,Wolf Girl and Black Prince,Japanese Movie - 2016,7.3
45,#243,Our Times,Taiwanese Movie - 2015,8.7
46,#982,Old Boy,Korean Movie - 2003,8.3
47,#2251,Hana Yori Dango Final,Japanese Movie - 2008,8.0
48,#7482,A Frozen Flower,Korean Movie - 2008,7.3
49,#1893,His,Japanese Movie - 2020,8.1
50,#81,A Taxi Driver,Korean Movie - 2017,8.9
51,#390,A Moment to Remember,Korean Movie - 2004,8.6
52,#4312,Hot Young Bloods,Korean Movie - 2014,7.7
53,#2246,I Give My First Love to You,Japanese Movie - 2009,8.0
54,#5804,Peninsula,Korean Movie - 2020,7.5
55,#7224,So I Married an Anti-Fan,Chinese Movie - 2016,7.3
56,#6172,Sweet & Sour,Korean Movie - 2021,7.4
57,#4442,Heroine Disqualified,Japanese Movie - 2015,7.7
58,#5279,My Little Bride,Korean Movie - 2004,7.6
59,#3432,Paradise Kiss,Japanese Movie - 2011,7.8
60,#22,Burn The Stage: The Movie,Korean Movie - 2018,9.1
61,#2374,Dream,Korean Movie - 2023,8.0
62,#260,Along With the Gods 2: The Last 49 Days,Korean Movie - 2018,8.7
63,#4397,Seven Days: Monday - Thursday,Japanese Movie - 2015,7.7
64,#2433,The Liar and His Lover,Japanese Movie - 2013,8.0
65,#2501,The Divine Fury,Korean Movie - 2019,7.9
66,#1579,Love 911,Korean Movie - 2012,8.1
67,#4919,The Black Devil and the White Prince,Japanese Movie - 2016,7.6
68,#4094,Death Note,Japanese Movie - 2006,7.7
69,#6862,Antique Bakery,Korean Movie - 2008,7.4
70,#202,Sunny,Korean Movie - 2011,8.7
71,#4063,A Millionaire's First Love,Korean Movie - 2006,7.7
72,#4574,Blue Spring Ride,Japanese Movie - 2014,7.6
73,#2825,Kill Bok Soon,Korean Movie - 2023,7.9
74,#1256,Fabricated City,Korean Movie - 2017,8.2
75,#8137,You're My Pet,Korean Movie - 2011,7.2
76,#6644,"Say ""I Love You""",Japanese Movie - 2014,7.4
77,#5891,Close Range Love,Japanese Movie - 2014,7.5
78,#228,Your Eyes Tell,Japanese Movie - 2020,8.7
79,#3907,Seven Days: Friday - Sunday,Japanese Movie - 2015,7.7
